time_ms,power_w
2,66.12
2,66.12
2,66.12
3,66.12
4,66.12
5,66.12
6,66.12
7,66.12
8,66.12
9,66.12
10,66.12
11,66.12
12,66.12
13,66.12
14,66.12
15,66.12
16,66.12
17,66.12
18,66.12
19,66.12
20,66.12
21,66.12
22,66.12
23,66.12
24,66.12
25,66.12
26,66.12
27,66.12
28,66.12
29,66.12
30,66.12
31,66.12
32,66.12
33,66.12
34,66.12
35,66.12
36,66.12
37,66.12
38,66.12
39,66.12
40,66.12
41,66.12
42,66.12
43,66.12
44,66.12
45,66.12
46,66.12
47,66.12
48,66.12
49,66.12
50,66.12
51,66.12
52,66.12
53,66.12
54,66.12
55,66.12
56,66.12
57,66.12
58,66.12
59,66.12
60,66.12
61,66.12
62,66.12
63,66.12
64,66.12
65,66.12
66,66.12
67,66.12
68,66.12
69,66.12
70,66.12
71,66.12
72,66.12
73,66.12
74,66.12
75,66.12
76,66.12
77,66.12
78,66.12
79,66.12
80,66.12
81,66.12
82,66.12
83,66.12
84,66.12
85,66.12
86,66.12
87,66.12
88,66.12
89,66.12
90,66.12
91,66.12
92,66.12
93,66.12
94,66.12
95,66.12
96,66.12
97,66.12
98,66.12
99,66.12
100,66.12
101,66.12
102,66.12
103,66.12
104,66.12
105,66.12
106,66.12
107,66.12
108,66.12
109,66.12
110,66.12
111,66.12
112,66.12
113,66.12
114,66.12
115,66.12
116,66.12
117,66.12
118,66.12
119,66.12
120,66.12
121,66.12
124,66.12
124,66.12
124,66.12
125,66.12
126,66.12
127,66.12
128,66.12
129,66.12
130,66.12
131,66.12
132,66.12
133,66.12
134,66.12
135,66.12
136,66.12
137,66.12
138,66.12
139,66.12
140,66.12
141,66.12
142,66.12
143,66.12
144,66.12
145,66.12
146,66.12
147,66.12
148,66.12
149,66.12
150,66.12
151,66.12
152,66.12
153,66.12
154,66.12
155,66.12
156,66.12
157,66.12
158,66.12
159,66.12
160,66.12
161,66.12
162,66.12
163,66.12
164,66.12
165,66.12
166,66.12
167,66.12
168,66.12
169,66.12
170,66.12
171,66.12
172,66.12
173,66.12
174,66.12
175,66.12
176,66.12
177,66.12
178,66.12
179,66.12
180,66.12
181,66.12
182,66.12
183,66.12
184,66.12
185,66.12
186,66.12
187,66.12
188,66.12
189,66.12
190,66.12
191,66.12
192,66.12
193,66.12
194,66.12
195,66.12
196,66.12
197,66.12
198,66.12
199,66.12
200,66.12
201,66.12
202,66.12
203,66.12
204,66.12
205,66.12
206,66.12
207,66.12
208,66.12
209,66.12
210,66.12
211,66.12
212,66.12
213,66.12
214,66.12
215,66.12
216,66.12
217,66.12
218,66.12
219,66.12
220,66.12
221,66.12
222,66.12
223,66.445
224,66.445
225,66.445
226,66.445
227,66.445
228,66.445
229,66.445
230,66.445
231,66.445
232,66.445
233,66.445
234,66.445
235,66.445
236,66.445
237,66.445
238,66.445
239,66.445
240,66.445
241,66.445
242,66.445
243,66.445
244,66.445
245,66.445
246,66.445
247,66.445
248,66.445
249,66.445
250,66.445
251,66.445
252,66.445
253,66.445
254,66.445
255,66.445
256,66.445
257,66.445
258,66.445
259,66.445
260,66.445
261,66.445
262,66.445
263,66.445
264,66.445
265,66.445
266,66.445
267,66.445
268,66.445
269,66.445
270,66.445
271,66.445
272,66.445
273,66.445
274,66.445
275,66.445
276,66.445
277,66.445
278,66.445
279,66.445
280,66.445
281,66.445
282,66.445
283,66.445
